#: table_doi: 10.17182/hepdata.88899.v1/t7
#: name: Figure_005
#: description: Observed and expected 95% CL upper limits on the product of the cross section of a graviton decaying to a pair of SM bosons.
#: data_file: figure_005.yaml
#: keyword reactions: P P --> GRAVITON --> W+ W- | P P --> GRAVITON --> Z0 Z0 | P P --> GRAVITON --> H0 H0
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [TeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0.19331 0.074739 -0.052197
801.0e-3 0.19261 0.05398 -0.036543
899.0e-3 0.12424 0.051582 -0.034919
900.0e-3 0.11872 0.039137 -0.025977
901.0e-3 0.1184 0.029759 -0.020353
999.0e-3 0.086891 0.022773 -0.015542
1000.0e-3 0.069771 0.018229 -0.012586
1001.0e-3 0.069618 0.020695 -0.013997
1099.0e-3 0.054565 0.017456 -0.011689
1100.0e-3 0.054411 0.014413 -0.0095588
1101.0e-3 0.054297 0.01211 -0.0079928
1199.0e-3 0.043144 0.010399 -0.0067736
1200.0e-3 0.0472 0.0088251 -0.0058211
1201.0e-3 0.047119 0.0076032 -0.0049308
1299.0e-3 0.039181 0.0066295 -0.0042283
1300.0e-3 0.0391 0.0057135 -0.0036429
1301.0e-3 0.039026 0.0050334 -0.0032483
1399.0e-3 0.031793 0.0044792 -0.0028666
1400.0e-3 0.031719 0.0040219 -0.0025733
1401.0e-3 0.031664 0.0036761 -0.0023154
1499.0e-3 0.026246 0.0033492 -0.002093
1500.0e-3 0.026191 0.0034342 -0.0021297
1501.0e-3 0.026152 0.0031018 -0.0019327
1599.0e-3 0.022337 0.0028555 -0.0017318
1600.0e-3 0.022298 0.0026109 -0.0016152
1601.0e-3 0.022265 0.0024324 -0.0014725
1699.0e-3 0.018957 0.0022657 -0.001372
1700.0e-3 0.018923 0.0022978 -0.0013921
1701.0e-3 0.018894 0.0021733 -0.0012901
1799.0e-3 0.016058 0.0020271 -0.0012268
1800.0e-3 0.016029 0.0019069 -0.0011333
1801.0e-3 0.016006 0.00183 -0.0010668
1899.0e-3 0.013768 0.0017049 -0.001013
1900.0e-3 0.013745 0.0016385 -0.0009555
1901.0e-3 0.013725 0.0015529 -0.00090048
1999.0e-3 0.011769 0.0014827 -0.00086077
2000.0e-3 0.011749 0.0014357 -0.00081338
2001.0e-3 0.011734 0.0013591 -0.00078041
2099.0e-3 0.010281 0.0013195 -0.00073983
2100.0e-3 0.010266 0.0012624 -0.00071725
2101.0e-3 0.010254 0.0012267 -0.00068918
2199.0e-3 0.0090025 0.0011925 -0.00066274
2200.0e-3 0.0089897 0.0011571 -0.00064382
2201.0e-3 0.0089799 0 0
2299.0e-3 0.0080176 0 0
2300.0e-3 0.0080078 0 0
2301.0e-3 0.0079998 0 0
2399.0e-3 0.0072131 0 0
2400.0e-3 0.0072051 0 0
2401.0e-3 0.0071977 0 0
2499.0e-3 0.0064708 0 0
2500.0e-3 0.0064634 0 0
2501.0e-3 0.006527 0 0
2599.0e-3 0.0058577 0 0
2600.0e-3 0.0058509 0 0
2601.0e-3 0.005845 0 0
2699.0e-3 0.0052733 0 0
2700.0e-3 0.0052674 0 0
2701.0e-3 0.0052626 0 0
2799.0e-3 0.004786 0 0
2800.0e-3 0.0047812 0 0
2801.0e-3 0.0047769 0 0
2899.0e-3 0.004363 0 0
2900.0e-3 0.0043588 0 0
2901.0e-3 0.0043555 0 0
2999.0e-3 0.0040345 0 0
3000.0e-3 0.0040313 0 0
3001.0e-3 0.0040313 0 0
3099.0e-3 0.0037122 0 0
3100.0e-3 0.003709 0 0
3101.0e-3 0.0037065 0 0
3199.0e-3 0.003462 0 0
3200.0e-3 0.0034595 0 0
3201.0e-3 0.0034568 0 0
3299.0e-3 0.0031919 0 0
3300.0e-3 0.0031892 0 0
3301.0e-3 0.0031871 0 0
3399.0e-3 0.0029832 0 0
3400.0e-3 0.0029812 0 0
3401.0e-3 0.0029791 0 0
3499.0e-3 0.0027794 0 0
3500.0e-3 0.0027773 0 0
3501.0e-3 0.0027756 0 0
3599.0e-3 0.0026033 0 0
3600.0e-3 0.0026016 0 0
3601.0e-3 0.0025999 0 0
3699.0e-3 0.0024366 0 0
3700.0e-3 0.002435 0 0
3701.0e-3 0.0024336 0 0
3799.0e-3 0.0022975 0 0
3800.0e-3 0.0022961 0 0
3801.0e-3 0.0022949 0 0
3899.0e-3 0.002171 0 0
3900.0e-3 0.0021697 0 0
3901.0e-3 0.0021686 0 0
3999.0e-3 0.0020552 0 0
4000.0e-3 0.002054 0 0
4001.0e-3 0.0020529 0 0
4099.0e-3 0.0019483 0 0
4100.0e-3 0.0019472 0 0
4101.0e-3 0.0019464 0 0
4199.0e-3 0.0018638 0 0
4200.0e-3 0.0018629 0 0
4201.0e-3 0.001862 0 0
4299.0e-3 0.0017697 0 0
4300.0e-3 0.0017687 0 0
4301.0e-3 0.001768 0 0
4399.0e-3 0.0017006 0 0
4400.0e-3 0.0016999 0 0
4401.0e-3 0.0016992 0 0
4499.0e-3 0.0016315 0 0
4500.0e-3 0.0016309 0 0

