#: table_doi: 10.17182/hepdata.88899.v1/t9
#: name: Figure_007
#: description: Observed and expected 95% CL upper limits on the product of the bulk graviton cross section and the G -> WW branching fraction as a function of the G resonance mass.
#: data_file: figure_007.yaml
#: keyword reactions: P P --> GRAVITON --> W+ W-
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [TeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0 0.016697 -0.010881
801.0e-3 0 0.011133 -0.0073243
899.0e-3 0 0.0084517 -0.0055119
900.0e-3 0 0.0063229 -0.0042846
901.0e-3 0 0.0047757 -0.0032095
999.0e-3 0 0.0038017 -0.0025525
1000.0e-3 0.0355 0.003111 -0.002068
1001.0e-3 0.03539 0.0025717 -0.0017313
1099.0e-3 0.02461 0.0021797 -0.0014225
1100.0e-3 0.0245 0.0018712 -0.0012098
1101.0e-3 0.024439 0.0016031 -0.001049
1199.0e-3 0.018437 0.0013752 -0.0008919
1200.0e-3 0.014688 0.0012058 -0.0007689
1201.0e-3 0.014652 0.0010624 -0.0006855
1299.0e-3 0.01113 0.0009541 -0.0006031
1300.0e-3 0.011094 0.0008729 -0.000554
1301.0e-3 0.01107 0.000784 -0.0005016
1399.0e-3 0.0087734 0.0007211 -0.0004506
1400.0e-3 0.00875 0.0006563 -0.000407
1401.0e-3 0.0087328 0.0006011 -0.0003727
1499.0e-3 0.0070484 0.0005583 -0.0003412
1500.0e-3 0.0070312 0.0005099 -0.0003094
1501.0e-3 0.007019 0.0004734 -0.0002873
1599.0e-3 0.0058247 0.0004438 -0.0002687
1600.0e-3 0.0058125 0.000412 -0.0002478
1601.0e-3 0.0058023 0.0003854 -0.0002319
1699.0e-3 0.0048071 0.0003621 -0.000215
1700.0e-3 0.0047969 0.0003387 -0.0002011
1701.0e-3 0.0047894 0.0003193 -0.0001885
1799.0e-3 0.0040544 0.0003044 -0.0001784
1800.0e-3 0.0040469 0.000287 -0.0001652
1801.0e-3 0.0040408 0.0002726 -0.000158
1899.0e-3 0.0034436 0.0002558 -0.0001492
1900.0e-3 0.0034375 0.0002475 -0.0001418
1901.0e-3 0.0034321 0.00024 -0.0001367
1999.0e-3 0.0029046 0.0002319 -0.000133
2000.0e-3 0.0028992 0.0002265 -0.0001284
2001.0e-3 0.002895 0 0
2099.0e-3 0.0024838 0 0
2100.0e-3 0.0024796 0 0
2101.0e-3 0.0024765 0 0
2199.0e-3 0.0021698 0 0
2200.0e-3 0.0021667 0 0
2201.0e-3 0.0021642 0 0
2299.0e-3 0.0019175 0 0
2300.0e-3 0.001915 0 0
2301.0e-3 0.0019131 0 0
2399.0e-3 0.0017261 0 0
2400.0e-3 0.0017242 0 0
2401.0e-3 0.0017224 0 0
2499.0e-3 0.0015506 0 0
2500.0e-3 0.0015488 0 0
2501.0e-3 0.0015471 0 0
2599.0e-3 0.0013826 0 0
2600.0e-3 0.0013809 0 0
2601.0e-3 0.0013796 0 0
2699.0e-3 0.0012487 0 0
2700.0e-3 0.0012474 0 0
2701.0e-3 0.0012462 0 0
2799.0e-3 0.0011265 0 0
2800.0e-3 0.0011253 0 0
2801.0e-3 0.0011243 0 0
2899.0e-3 0.001031 0 0
2900.0e-3 0.00103 0 0
2901.0e-3 0.001029 0 0
2999.0e-3 0.00092803 0 0
3000.0e-3 0.000927 0 0
3001.0e-3 0.00092628 0 0
3099.0e-3 0.00085523 0 0
3100.0e-3 0.0008545 0 0
3101.0e-3 0.00085385 0 0
3199.0e-3 0.00079025 0 0
3200.0e-3 0.0007896 0 0
3201.0e-3 0.00078893 0 0
3299.0e-3 0.00072357 0 0
3300.0e-3 0.0007229 0 0
3301.0e-3 0.00072238 0 0
3399.0e-3 0.00067192 0 0
3400.0e-3 0.0006714 0 0
3401.0e-3 0.00067087 0 0
3499.0e-3 0.00061853 0 0
3500.0e-3 0.000618 0 0
3501.0e-3 0.00061756 0 0
3599.0e-3 0.00057454 0 0
3600.0e-3 0.0005741 0 0
3601.0e-3 0.0005737 0 0
3699.0e-3 0.0005345 0 0
3700.0e-3 0.0005341 0 0
3701.0e-3 0.00053372 0 0
3799.0e-3 0.00049628 0 0
3800.0e-3 0.0004959 0 0
3801.0e-3 0.00049556 0 0
3899.0e-3 0.00046194 0 0
3900.0e-3 0.0004616 0 0
3901.0e-3 0.00046131 0 0
3999.0e-3 0.00043329 0 0
4000.0e-3 0.000433 0 0
4001.0e-3 0.00043273 0 0
4099.0e-3 0.00040657 0 0
4100.0e-3 0.0004063 0 0
4101.0e-3 0.00040607 0 0
4199.0e-3 0.00038363 0 0
4200.0e-3 0.0003834 0 0
4201.0e-3 0.00038324 0 0
4299.0e-3 0.00036736 0 0
4300.0e-3 0.0003672 0 0
4301.0e-3 0.00036708 0 0
4399.0e-3 0.00035492 0 0
4400.0e-3 0.0003548 0 0
4401.0e-3 0.00035468 0 0
4499.0e-3 0.00034252 0 0
4500.0e-3 0.0003424 0 0
