#: table_doi: 10.17182/hepdata.88899.v1/t11
#: name: Figure_009
#: description: Observed and expected 95% CL upper limits on the product of the bulk graviton cross section and the G -> ZZ branching fraction as a function of the G resonance mass.
#: data_file: figure_009.yaml
#: keyword reactions: P P --> GRAVITON --> Z0 Z0
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [TeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0.028625 0.011068 -0.0075913
801.0e-3 0.028511 0.0074948 -0.0051153
899.0e-3 0.017364 0.0055381 -0.0037193
900.0e-3 0.01725 0.0052503 -0.0035127
901.0e-3 0.017199 0.0040597 -0.0027186
999.0e-3 0.012188 0.0032514 -0.0021581
1000.0e-3 0.011656 0.003111 -0.0021286
1001.0e-3 0.011631 0.0026001 -0.0017602
1099.0e-3 0.0091194 0.0021817 -0.0014364
1100.0e-3 0.0090938 0.0018066 -0.0012252
1101.0e-3 0.0090749 0.0015554 -0.0010323
1199.0e-3 0.0072188 0.0013277 -0.0008846
1200.0e-3 0.0070312 0.0011316 -0.000744
1201.0e-3 0.0070207 0.0009837 -0.0006438
1299.0e-3 0.0059949 0.0008489 -0.0005599
1300.0e-3 0.0059844 0.0007671 -0.0005014
1301.0e-3 0.005973 0.0006895 -0.0004431
1399.0e-3 0.0048552 0.0006236 -0.0004023
1400.0e-3 0.0048438 0.0005695 -0.0003615
1401.0e-3 0.0048358 0.0005122 -0.0003301
1499.0e-3 0.0040549 0.0005446 -0.0003403
1500.0e-3 0.0040469 0.0004953 -0.0003118
1501.0e-3 0.004041 0.0004561 -0.000285
1599.0e-3 0.003459 0.0004222 -0.00026
1600.0e-3 0.0034531 0.000393 -0.0002414
1601.0e-3 0.0034478 0.0003691 -0.0002238
1699.0e-3 0.0029272 0.0003468 -0.0002089
1700.0e-3 0.0029219 0.0003258 -0.000195
1701.0e-3 0.0029174 0.0003117 -0.0001852
1799.0e-3 0.0024733 0.0002989 -0.0001755
1800.0e-3 0.0024688 0.000284 -0.0001669
1801.0e-3 0.0024652 0.0002712 -0.0001595
1899.0e-3 0.002113 0.0002623 -0.0001535
1900.0e-3 0.0021094 0.0002554 -0.0001452
1901.0e-3 0.0021065 0.000247 -0.0001414
1999.0e-3 0.0018232 0.0002384 -0.0001358
2000.0e-3 0.0018203 0.0002342 -0.0001304
2001.0e-3 0.0018183 0.000227 -0.0001265
2099.0e-3 0.0016192 0.0002182 -0.0001211
2100.0e-3 0.0016172 0.0002135 -0.0001179
2101.0e-3 0.0016152 0.0002086 -0.0001146
2199.0e-3 0.00142 0 0
2200.0e-3 0.001418 0 0
2201.0e-3 0.0014164 0 0
2299.0e-3 0.0012633 0 0
2300.0e-3 0.0012617 0 0
2301.0e-3 0.0012603 0 0
2399.0e-3 0.0011264 0 0
2400.0e-3 0.001125 0 0
2401.0e-3 0.0011239 0 0
2499.0e-3 0.0010128 0 0
2500.0e-3 0.0010117 0 0
2501.0e-3 0.001043 0 0
2599.0e-3 0.00094243 0 0
2600.0e-3 0.0009414 0 0
2601.0e-3 0.00094046 0 0
2699.0e-3 0.00084864 0 0
2700.0e-3 0.0008477 0 0
2701.0e-3 0.0008469 0 0
2799.0e-3 0.0007684 0 0
2800.0e-3 0.0007676 0 0
2801.0e-3 0.00076692 0 0
2899.0e-3 0.00069988 0 0
2900.0e-3 0.0006992 0 0
2901.0e-3 0.0006986 0 0
2999.0e-3 0.00063931 0 0
3000.0e-3 0.0006387 0 0
3001.0e-3 0.00063819 0 0
3099.0e-3 0.00058841 0 0
3100.0e-3 0.0005879 0 0
3101.0e-3 0.00058747 0 0
3199.0e-3 0.00054533 0 0
3200.0e-3 0.0005449 0 0
3201.0e-3 0.00054453 0 0
3299.0e-3 0.00050817 0 0
3300.0e-3 0.0005078 0 0
3301.0e-3 0.00050747 0 0
3399.0e-3 0.00047493 0 0
3400.0e-3 0.0004746 0 0
3401.0e-3 0.00047431 0 0
3499.0e-3 0.00044559 0 0
3500.0e-3 0.0004453 0 0
3501.0e-3 0.00044505 0 0
3599.0e-3 0.00042015 0 0
3600.0e-3 0.0004199 0 0
3601.0e-3 0.00041967 0 0
3699.0e-3 0.00039673 0 0
3700.0e-3 0.0003965 0 0
3701.0e-3 0.00039631 0 0
3799.0e-3 0.00037719 0 0
3800.0e-3 0.000377 0 0
3801.0e-3 0.00037683 0 0
3899.0e-3 0.00036057 0 0
3900.0e-3 0.0003604 0 0
3901.0e-3 0.00036023 0 0
3999.0e-3 0.00034397 0 0
4000.0e-3 0.0003438 0 0
4001.0e-3 0.00034366 0 0
4099.0e-3 0.00033024 0 0
4100.0e-3 0.0003301 0 0
4101.0e-3 0.00032996 0 0
4199.0e-3 0.00031654 0 0
4200.0e-3 0.0003164 0 0
4201.0e-3 0.00031624 0 0
4299.0e-3 0.00030096 0 0
4300.0e-3 0.0003008 0 0
4301.0e-3 0.0003007 0 0
4399.0e-3 0.0002911 0 0
4400.0e-3 0.000291 0 0
4401.0e-3 0.0002909 0 0
4499.0e-3 0.0002813 0 0
4500.0e-3 0.0002812 0 0
