#: table_doi: 10.17182/hepdata.88899.v1/t12
#: name: Figure_010
#: description: Observed and expected 95% CL upper limits on the product of the W' cross section and the W' -> WH branching fraction as a function of the W' resonance mass.
#: data_file: figure_010.yaml
#: keyword reactions: P P --> WPRIME --> W+ H0 | P P --> WPRIME --> W- H0
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [TeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0.08525 0.038398 -0.025074
801.0e-3 0.084947 0.024886 -0.016456
899.0e-3 0.05525 0.022344 -0.014853
900.0e-3 0.0505 0.015793 -0.010537
901.0e-3 0.050347 0.01543 -0.01009
999.0e-3 0.035375 0.011338 -0.007537
1000.0e-3 0.034875 0.0086218 -0.0057523
1001.0e-3 0.034783 0.0068408 -0.0045037
1099.0e-3 0.025718 0.0056233 -0.0037463
1100.0e-3 0.025625 0.0046699 -0.0030841
1101.0e-3 0.025562 0.0039495 -0.0025845
1199.0e-3 0.019376 0.00335 -0.0021725
1200.0e-3 0.019312 0.0028787 -0.0018507
1201.0e-3 0.019271 0.002505 -0.0015967
1299.0e-3 0.015229 0.0021947 -0.0014049
1300.0e-3 0.015187 0.001962 -0.0012301
1301.0e-3 0.015159 0.0017632 -0.0011019
1399.0e-3 0.012403 0.0015936 -0.0009958
1400.0e-3 0.012375 0.0014507 -0.000893
1401.0e-3 0.012353 0.001329 -0.0008122
1499.0e-3 0.010209 0.0012216 -0.0007413
1500.0e-3 0.010188 0.0011278 -0.0006929
1501.0e-3 0.01017 0.001051 -0.000637
1599.0e-3 0.008486 0.0009835 -0.0005923
1600.0e-3 0.0084688 0.000926 -0.0005571
1601.0e-3 0.0084547 0.0008758 -0.0005141
1699.0e-3 0.0070766 0.0008361 -0.0004876
1700.0e-3 0.0070625 0.0008005 -0.0004648
1701.0e-3 0.0070516 0.0007606 -0.0004391
1799.0e-3 0.0059797 0.0007419 -0.0004215
1800.0e-3 0.0059688 0.0007114 -0.0004047
1801.0e-3 0.0059602 0.0006853 -0.00039
1899.0e-3 0.005118 0.000678 -0.0003699
1900.0e-3 0.0051094 0.0006559 -0.0003685
1901.0e-3 0.0051027 0.0006476 -0.0003583
1999.0e-3 0.004447 0.0006442 -0.0003511
2000.0e-3 0.0044403 0.0006327 -0.0003532
2001.0e-3 0.0044347 0.0006342 -0.0003468
2099.0e-3 0.0038813 0.0006318 -0.000344
2100.0e-3 0.0038757 0.0006322 -0.0003429
2101.0e-3 0.003871 0 0
2199.0e-3 0.0034074 0 0
2200.0e-3 0.0034027 0 0
2201.0e-3 0.003399 0 0
2299.0e-3 0.0030326 0 0
2300.0e-3 0.0030289 0 0
2301.0e-3 0.0030258 0 0
2399.0e-3 0.0027192 0 0
2400.0e-3 0.0027161 0 0
2401.0e-3 0.0027133 0 0
2499.0e-3 0.0024366 0 0
2500.0e-3 0.0024338 0 0
2501.0e-3 0.0024315 0 0
2599.0e-3 0.0022072 0 0
2600.0e-3 0.0022049 0 0
2601.0e-3 0.0022029 0 0
2699.0e-3 0.0020085 0 0
2700.0e-3 0.0020065 0 0
2701.0e-3 0.0020047 0 0
2799.0e-3 0.0018329 0 0
2800.0e-3 0.0018311 0 0
2801.0e-3 0.0018296 0 0
2899.0e-3 0.00168 0 0
2900.0e-3 0.0016785 0 0
2901.0e-3 0.0016772 0 0
2999.0e-3 0.0015501 0 0
3000.0e-3 0.0015488 0 0
3001.0e-3 0.0015476 0 0
3099.0e-3 0.0014279 0 0
3100.0e-3 0.0014267 0 0
3101.0e-3 0.0014257 0 0
3199.0e-3 0.0013285 0 0
3200.0e-3 0.0013275 0 0
3201.0e-3 0.0013266 0 0
3299.0e-3 0.0012407 0 0
3300.0e-3 0.0012398 0 0
3301.0e-3 0.001239 0 0
3399.0e-3 0.0011643 0 0
3400.0e-3 0.0011635 0 0
3401.0e-3 0.0011628 0 0
3499.0e-3 0.0010955 0 0
3500.0e-3 0.0010948 0 0
3501.0e-3 0.0010942 0 0
3599.0e-3 0.0010382 0 0
3600.0e-3 0.0010376 0 0
3601.0e-3 0.0010371 0 0
3699.0e-3 0.0009885 0 0
3700.0e-3 0.000988 0 0
3701.0e-3 0.00098747 0 0
3799.0e-3 0.00093513 0 0
3800.0e-3 0.0009346 0 0
3801.0e-3 0.0009343 0 0
3899.0e-3 0.00090441 0 0
3900.0e-3 0.0009041 0 0
3901.0e-3 0.00090379 0 0
3999.0e-3 0.00087391 0 0
4000.0e-3 0.0008736 0 0
4001.0e-3 0.00087337 0 0
4099.0e-3 0.00085093 0 0
4100.0e-3 0.0008507 0 0
4101.0e-3 0.00085055 0 0
4199.0e-3 0.00083555 0 0
4200.0e-3 0.0008354 0 0
4201.0e-3 0.00083525 0 0
4299.0e-3 0.00082035 0 0
4300.0e-3 0.0008202 0 0
4301.0e-3 0.00082009 0 0
4399.0e-3 0.00080881 0 0
4400.0e-3 0.0008087 0 0
4401.0e-3 0.00080862 0 0
4499.0e-3 0.00080118 0 0
4500.0e-3 0.0008011 0 0
