#: table_doi: 10.17182/hepdata.88899.v1/t10
#: name: Figure_008
#: description: Observed and expected 95% CL upper limits on the product of the W' cross section and the W' -> WZ branching fraction as a function of the W' resonance mass.
#: data_file: figure_008.yaml
#: keyword reactions: P P --> WPRIME --> W+ Z0 | P P --> WPRIME --> W- Z0
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [TeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0.098875 0.035865 -0.024314
801.0e-3 0.098444 0.023556 -0.01586
899.0e-3 0.056181 0.018194 -0.012216
900.0e-3 0.05575 0.012531 -0.0088546
901.0e-3 0.05561 0.0084678 -0.0058914
999.0e-3 0.041875 0.0063894 -0.0044083
1000.0e-3 0.031125 0.0062354 -0.0043021
1001.0e-3 0.03102 0.0049701 -0.0034355
1099.0e-3 0.02073 0.0042172 -0.0027804
1100.0e-3 0.020625 0.0034036 -0.0023445
1101.0e-3 0.020574 0.0028122 -0.0019554
1199.0e-3 0.015562 0.0023964 -0.0016356
1200.0e-3 0.015187 0.0020298 -0.0013854
1201.0e-3 0.015154 0.0017629 -0.0011815
1299.0e-3 0.011908 0.0015483 -0.0010276
1300.0e-3 0.011875 0.0013597 -0.0009132
1301.0e-3 0.011852 0.0012206 -0.0008051
1399.0e-3 0.0095546 0.0010969 -0.0007227
1400.0e-3 0.0095312 0.0009828 -0.0006471
1401.0e-3 0.0095149 0.0008997 -0.0005777
1499.0e-3 0.0079225 0.0008136 -0.0005262
1500.0e-3 0.0079062 0.0007435 -0.0004829
1501.0e-3 0.0078931 0.0006862 -0.0004386
1599.0e-3 0.0066069 0.0006358 -0.0004031
1600.0e-3 0.0065938 0.0005908 -0.000369
1601.0e-3 0.006583 0.0005519 -0.0003398
1699.0e-3 0.0055264 0.0005137 -0.0003164
1700.0e-3 0.0055156 0.0004788 -0.0002963
1701.0e-3 0.0055072 0.0004493 -0.0002762
1799.0e-3 0.0046803 0.0004252 -0.0002597
1800.0e-3 0.0046719 0.0004017 -0.0002438
1801.0e-3 0.004665 0.0003798 -0.0002291
1899.0e-3 0.0039913 0.0003609 -0.0002163
1900.0e-3 0.0039844 0.0003481 -0.0002047
1901.0e-3 0.0039789 0.0003284 -0.0001955
1999.0e-3 0.003443 0.0003164 -0.0001885
2000.0e-3 0.0034375 0.0003052 -0.0001796
2001.0e-3 0.003433 0.0003011 -0.0001752
2099.0e-3 0.0029967 0.0002933 -0.0001707
2100.0e-3 0.0029922 0.0002882 -0.0001687
2101.0e-3 0.0029885 0 0
2199.0e-3 0.0026209 0 0
2200.0e-3 0.0026172 0 0
2201.0e-3 0.0026142 0 0
2299.0e-3 0.0023155 0 0
2300.0e-3 0.0023125 0 0
2301.0e-3 0.0023099 0 0
2399.0e-3 0.0020573 0 0
2400.0e-3 0.0020547 0 0
2401.0e-3 0.0020524 0 0
2499.0e-3 0.0018226 0 0
2500.0e-3 0.0018203 0 0
2501.0e-3 0.0018184 0 0
2599.0e-3 0.0016347 0 0
2600.0e-3 0.0016328 0 0
2601.0e-3 0.0016312 0 0
2699.0e-3 0.0014704 0 0
2700.0e-3 0.0014688 0 0
2701.0e-3 0.0014674 0 0
2799.0e-3 0.0013256 0 0
2800.0e-3 0.0013242 0 0
2801.0e-3 0.001323 0 0
2899.0e-3 0.0012005 0 0
2900.0e-3 0.0011992 0 0
2901.0e-3 0.0011981 0 0
2999.0e-3 0.0010909 0 0
3000.0e-3 0.0010898 0 0
3001.0e-3 0.0010889 0 0
3099.0e-3 0.00099704 0 0
3100.0e-3 0.0009961 0 0
3101.0e-3 0.00099528 0 0
3199.0e-3 0.00091492 0 0
3200.0e-3 0.0009141 0 0
3201.0e-3 0.00091336 0 0
3299.0e-3 0.00084054 0 0
3300.0e-3 0.0008398 0 0
3301.0e-3 0.00083918 0 0
3399.0e-3 0.00077792 0 0
3400.0e-3 0.0007773 0 0
3401.0e-3 0.00077673 0 0
3499.0e-3 0.00072127 0 0
3500.0e-3 0.0007207 0 0
3501.0e-3 0.00072021 0 0
3599.0e-3 0.00067239 0 0
3600.0e-3 0.0006719 0 0
3601.0e-3 0.00067145 0 0
3699.0e-3 0.00062745 0 0
3700.0e-3 0.000627 0 0
3701.0e-3 0.00062661 0 0
3799.0e-3 0.00058829 0 0
3800.0e-3 0.0005879 0 0
3801.0e-3 0.00058755 0 0
3899.0e-3 0.00055305 0 0
3900.0e-3 0.0005527 0 0
3901.0e-3 0.00055239 0 0
3999.0e-3 0.00052181 0 0
4000.0e-3 0.0005215 0 0
4001.0e-3 0.00052125 0 0
4099.0e-3 0.00049635 0 0
4100.0e-3 0.0004961 0 0
4101.0e-3 0.00049587 0 0
4199.0e-3 0.00047293 0 0
4200.0e-3 0.0004727 0 0
4201.0e-3 0.00047252 0 0
4299.0e-3 0.00045528 0 0
4300.0e-3 0.0004551 0 0
4301.0e-3 0.00045498 0 0
4399.0e-3 0.00044352 0 0
4400.0e-3 0.0004434 0 0
4401.0e-3 0.00044332 0 0
4499.0e-3 0.00043558 0 0
4500.0e-3 0.0004355 0 0
