#: table_doi: 10.17182/hepdata.88899.v1/t8
#: name: Figure_006
#: description: Observed and expected 95% CL upper limits on the product of the Z' cross section and the Z' -> WW branching fraction as a function of the Z' resonance mass.
#: data_file: figure_006.yaml
#: keyword reactions: P P --> ZPRIME --> W+ W-
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [TeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0 0.028898 -0.019613
801.0e-3 0 0.021989 -0.014572
899.0e-3 0 0.017118 -0.011434
900.0e-3 0 0.015813 -0.01043
901.0e-3 0 0.012169 -0.0080269
999.0e-3 0 0.0097172 -0.0064647
1000.0e-3 0.065312 0.0077242 -0.0050312
1001.0e-3 0.065139 0.0062668 -0.0041336
1099.0e-3 0.048142 0.0051628 -0.0033766
1100.0e-3 0.047969 0.0044095 -0.0028359
1101.0e-3 0.047861 0.003793 -0.0024894
1199.0e-3 0.037344 0.0033433 -0.0021484
1200.0e-3 0.033906 0.0029111 -0.0018787
1201.0e-3 0.033828 0.0025568 -0.00165
1299.0e-3 0.026172 0.0022879 -0.0014578
1300.0e-3 0.026094 0.0020396 -0.0013266
1301.0e-3 0.026043 0.0018438 -0.0011896
1399.0e-3 0.021066 0.0016544 -0.001067
1400.0e-3 0.021016 0.001491 -0.0009541
1401.0e-3 0.020971 0.0013545 -0.0008665
1499.0e-3 0.016607 0.0012408 -0.0007998
1500.0e-3 0.016563 0.0011399 -0.0007233
1501.0e-3 0.016531 0.0010294 -0.0006582
1599.0e-3 0.013469 0.0009557 -0.0005972
1600.0e-3 0.013437 0.0008801 -0.00055
1601.0e-3 0.013413 0.0008171 -0.000503
1699.0e-3 0.011001 0.0007599 -0.0004644
1700.0e-3 0.010977 0.000698 -0.0004235
1701.0e-3 0.010959 0.0006504 -0.0003967
1799.0e-3 0.0092364 0.0006096 -0.0003692
1800.0e-3 0.0092188 0.0005769 -0.0003473
1801.0e-3 0.0092059 0.0005605 -0.0003308
1899.0e-3 0.0079426 0.0005336 -0.0003088
1900.0e-3 0.0079297 0.0005055 -0.000293
1901.0e-3 0.0079192 0.0004844 -0.0002824
1999.0e-3 0.0068855 0.0004682 -0.00027
2000.0e-3 0.006875 0.0004555 -0.0002612
2001.0e-3 0.0068656 0 0
2099.0e-3 0.0059469 0 0
2100.0e-3 0.0059375 0 0
2101.0e-3 0.0059303 0 0
2199.0e-3 0.005222 0 0
2200.0e-3 0.0052148 0 0
2201.0e-3 0.0052089 0 0
2299.0e-3 0.0046348 0 0
2300.0e-3 0.0046289 0 0
2301.0e-3 0.0046242 0 0
2399.0e-3 0.0041649 0 0
2400.0e-3 0.0041602 0 0
2401.0e-3 0.0041559 0 0
2499.0e-3 0.0037348 0 0
2500.0e-3 0.0037305 0 0
2501.0e-3 0.0037264 0 0
2599.0e-3 0.0033244 0 0
2600.0e-3 0.0033203 0 0
2601.0e-3 0.0033168 0 0
2699.0e-3 0.0029723 0 0
2700.0e-3 0.0029688 0 0
2701.0e-3 0.0029659 0 0
2799.0e-3 0.0026787 0 0
2800.0e-3 0.0026758 0 0
2801.0e-3 0.0026736 0 0
2899.0e-3 0.0024534 0 0
2900.0e-3 0.0024512 0 0
2901.0e-3 0.0024489 0 0
2999.0e-3 0.0022191 0 0
3000.0e-3 0.0022168 0 0
3001.0e-3 0.0022147 0 0
3099.0e-3 0.0020041 0 0
3100.0e-3 0.002002 0 0
3101.0e-3 0.0020001 0 0
3199.0e-3 0.0018183 0 0
3200.0e-3 0.0018164 0 0
3201.0e-3 0.0018148 0 0
3299.0e-3 0.0016618 0 0
3300.0e-3 0.0016602 0 0
3301.0e-3 0.0016588 0 0
3399.0e-3 0.00152 0 0
3400.0e-3 0.0015186 0 0
3401.0e-3 0.0015173 0 0
3499.0e-3 0.0013929 0 0
3500.0e-3 0.0013916 0 0
3501.0e-3 0.0013903 0 0
3599.0e-3 0.0012611 0 0
3600.0e-3 0.0012598 0 0
3601.0e-3 0.0012588 0 0
3699.0e-3 0.0011582 0 0
3700.0e-3 0.0011572 0 0
3701.0e-3 0.0011563 0 0
3799.0e-3 0.0010702 0 0
3800.0e-3 0.0010693 0 0
3801.0e-3 0.0010685 0 0
3899.0e-3 0.00099198 0 0
3900.0e-3 0.0009912 0 0
3901.0e-3 0.00099066 0 0
3999.0e-3 0.00093804 0 0
4000.0e-3 0.0009375 0 0
4001.0e-3 0.00093682 0 0
4099.0e-3 0.00086978 0 0
4100.0e-3 0.0008691 0 0
4101.0e-3 0.00086854 0 0
4199.0e-3 0.00081356 0 0
4200.0e-3 0.000813 0 0
4201.0e-3 0.00081256 0 0
4299.0e-3 0.00076944 0 0
4300.0e-3 0.000769 0 0
4301.0e-3 0.00076856 0 0
4399.0e-3 0.00072554 0 0
4400.0e-3 0.0007251 0 0
4401.0e-3 0.00072473 0 0
4499.0e-3 0.00068887 0 0
4500.0e-3 0.0006885 0 0
