#: table_doi: 10.17182/hepdata.88899.v1/t13
#: name: Figure_011
#: description: Observed and expected 95% CL upper limits on the product of the Z' cross section and the Z' -> ZH branching fraction as a function of the Z' resonance mass.
#: data_file: figure_011.yaml
#: keyword reactions: P P --> ZPRIME --> Z0 H0
#: keyword phrases: Statistical combination | Diboson resonances | Cross section | Z prime | W prime | Heavy vector triplet | Graviton
#: keyword cmenergies: 13000
#: keyword observables: SIG
#mX [GeV],Combination Expected $\pm$ 1 s.d. [pb],1 s.d. +,1 s.d. -
800.0e-3 0.03625 0.018784 -0.011649
801.0e-3 0.036098 0.010588 -0.0066406
899.0e-3 0.02125 0.010235 -0.0065234
900.0e-3 0.020875 0.0075067 -0.0047461
901.0e-3 0.020818 0.0075067 -0.004709
999.0e-3 0.015187 0.0060102 -0.0038167
1000.0e-3 0.015187 0.0049669 -0.0031789
1001.0e-3 0.015156 0.0041933 -0.0026085
1099.0e-3 0.012094 0.0035512 -0.0022363
1100.0e-3 0.012063 0.0030596 -0.0019119
1101.0e-3 0.012042 0.0026673 -0.0016541
1199.0e-3 0.0099897 0.0023201 -0.0014389
1200.0e-3 0.0099688 0.0020348 -0.0012618
1201.0e-3 0.0099513 0.0018221 -0.0011273
1299.0e-3 0.0082363 0.0016476 -0.0010072
1300.0e-3 0.0082188 0.0014899 -0.0009044
1301.0e-3 0.0082057 0.0013773 -0.0008022
1399.0e-3 0.0069193 0.001259 -0.0007542
1400.0e-3 0.0069062 0.001145 -0.0006853
1401.0e-3 0.0068957 0.0010678 -0.0006312
1499.0e-3 0.0058699 0.0009789 -0.0005861
1500.0e-3 0.0058594 0.0009226 -0.0005491
1501.0e-3 0.0058511 0.000877 -0.0005159
1599.0e-3 0.0050395 0.0008354 -0.000483
1600.0e-3 0.0050312 0.0007944 -0.0004568
1601.0e-3 0.0050243 0.0007574 -0.0004412
1699.0e-3 0.0043507 0.000747 -0.0004117
1700.0e-3 0.0043438 0.0007198 -0.0003965
1701.0e-3 0.0043382 0.0006974 -0.0003855
1799.0e-3 0.0037868 0.000678 -0.0003809
1800.0e-3 0.0037812 0.0006717 -0.0003639
1801.0e-3 0.0037765 0.0006587 -0.0003579
1899.0e-3 0.0033172 0.0006578 -0.0003533
1900.0e-3 0.0033125 0.0006497 -0.0003453
1901.0e-3 0.0033089 0.0006371 -0.0003548
1999.0e-3 0.0029562 0.0006284 -0.000352
2000.0e-3 0.0029526 0.0006322 -0.000345
2001.0e-3 0.0029494 0.0006262 -0.0003417
2099.0e-3 0.0026353 0.0006202 -0.0003404
2100.0e-3 0.0026321 0.0006204 -0.0003391
2101.0e-3 0.0026291 0 0
2199.0e-3 0.0023376 0 0
2200.0e-3 0.0023346 0 0
2201.0e-3 0.0023323 0 0
2299.0e-3 0.002108 0 0
2300.0e-3 0.0021057 0 0
2301.0e-3 0.0021038 0 0
2399.0e-3 0.0019169 0 0
2400.0e-3 0.001915 0 0
2401.0e-3 0.0019132 0 0
2499.0e-3 0.0017413 0 0
2500.0e-3 0.0017395 0 0
2501.0e-3 0.0017381 0 0
2599.0e-3 0.001596 0 0
2600.0e-3 0.0015945 0 0
2601.0e-3 0.0015932 0 0
2699.0e-3 0.0014661 0 0
2700.0e-3 0.0014648 0 0
2701.0e-3 0.0014637 0 0
2799.0e-3 0.0013591 0 0
2800.0e-3 0.001358 0 0
2801.0e-3 0.001357 0 0
2899.0e-3 0.0012637 0 0
2900.0e-3 0.0012627 0 0
2901.0e-3 0.0012619 0 0
2999.0e-3 0.0011872 0 0
3000.0e-3 0.0011864 0 0
3001.0e-3 0.0011857 0 0
3099.0e-3 0.0011184 0 0
3100.0e-3 0.0011177 0 0
3101.0e-3 0.0011171 0 0
3199.0e-3 0.0010535 0 0
3200.0e-3 0.0010529 0 0
3201.0e-3 0.0010524 0 0
3299.0e-3 0.0010038 0 0
3300.0e-3 0.0010033 0 0
3301.0e-3 0.0010029 0 0
3399.0e-3 0.00096172 0 0
3400.0e-3 0.0009613 0 0
3401.0e-3 0.00096103 0 0
3499.0e-3 0.00093487 0 0
3500.0e-3 0.0009346 0 0
3501.0e-3 0.00093422 0 0
3599.0e-3 0.00089688 0 0
3600.0e-3 0.0008965 0 0
3601.0e-3 0.00089623 0 0
3699.0e-3 0.00087007 0 0
3700.0e-3 0.0008698 0 0
3701.0e-3 0.00086961 0 0
3799.0e-3 0.00085089 0 0
3800.0e-3 0.0008507 0 0
3801.0e-3 0.00085051 0 0
3899.0e-3 0.00083179 0 0
3900.0e-3 0.0008316 0 0
3901.0e-3 0.00083152 0 0
3999.0e-3 0.00082408 0 0
4000.0e-3 0.000824 0 0
4001.0e-3 0.00082389 0 0
4099.0e-3 0.00081262 0 0
4100.0e-3 0.0008125 0 0
4101.0e-3 0.00081239 0 0
4199.0e-3 0.00080121 0 0
4200.0e-3 0.0008011 0 0
4201.0e-3 0.00080102 0 0
4299.0e-3 0.00079358 0 0
4300.0e-3 0.0007935 0 0
4301.0e-3 0.00079342 0 0
4399.0e-3 0.00078588 0 0
4400.0e-3 0.0007858 0 0
4401.0e-3 0.00078572 0 0
4499.0e-3 0.00077828 0 0
4500.0e-3 0.0007782 0 0
